"sentence","target word","cloze probability","Log Hal Frequency","Phonological Neighbors","Semantic Neighborhood Density","Response Entropy","densityA","densityB"
"While running, Clayton tripped on a shallow __________.","hole","0.5200","10.16","37","0.63","3.0400","367","28"
"The tear in Sebastian's pants left a huge __________.","hole","0.7400","10.16","37","0.63","1.5300","367","28"
"The opponents threw balls that the players couldn't __________.","catch","0.6900","10.03","19","0.63","1.3300","43","19"
"For a small horse she has a very long __________.","tail","0.4700","9.33","36","0.61","2.5400","45","26"
"The ink flowed steadily from the fountain pen's __________.","tip","0.5100","9.59","25","0.61","2.5700","22","23"
"The waitress was upset when the customer forgot to __________.","tip","0.7100","9.59","25","0.61","1.0600","22","23"
"The newly purchased marker had a fine black __________.","tip","0.6200","9.59","25","0.61","1.9300","22","23"
"The peaches at the orchard are almost ready to __________.","pick","0.7100","10.72","34","0.63","1.1900","55","27"
"Strumming a guitar is easier with a small __________.","pick","0.8400","10.72","34","0.63","1.1200","55","27"
"Students were outraged over the administration's new __________.","rules","0.4600","11.29","15","0.67","2.2500",\N,\N
"The whole class chewed gum to protest the teacher's __________.","rules","0.7100","11.29","15","0.67","2.1000",\N,\N
"Jacob's dog would bark if it wasn't regularly __________.","fed","0.4200","9.58","17","0.61","2.2600","42","18"
"The kid received a goldfish as his first __________.","pet","0.6700","9.60","28","0.61","1.9500","8","25"
"He said the dog wasn't a person, but rather a __________.","pet","0.4000","9.60","28","0.61","3.1600","8","25"
"The silly girl forgot the password to her house __________.","alarm","0.4600","8.63","0","0.58","2.7200","16","0"
"Domingo stored his valuables in a durable __________.","safe","0.5700","10.41","12","0.66","2.3300","58","10"
"The children said the guard dog made them feel __________.","safe","0.5400","10.41","12","0.66","2.2000","58","10"
"The thief was disappointed to open an empty __________.","safe","0.7800","10.41","12","0.66","1.4700","58","10"
"While in the city, Amanda didn't feel __________.","safe","0.4500","10.41","12","0.66","3.3100","58","10"
"At the hotel, Kevin kept his valuables in the __________.","safe","0.9000","10.41","12","0.66","0.8500","58","10"
"The skyscraper was demolished because it wasn't __________.","safe","0.3100","10.41","12","0.66","3.4700","58","10"
"The robber ordered the bank teller to open the __________.","safe","0.5000","10.41","12","0.66","1.8700","58","10"
"Holly put her most expensive jewelry in the __________.","safe","0.6900","10.41","12","0.66","1.9600","58","10"
"Terry wanted to skip school, but she wouldn't __________.","dare","0.4300","9.09","34","0.56","3.5600","21","24"
"You should always read it over before signing a __________.","contract","0.8000","10.76","1","0.66","1.0300","60","1"
"Ariel was fired and desperately needed a __________.","job","0.9600","11.93","19","0.68","0.3000","238","18"
"Before quitting, the lawyer searched for a new __________.","job","0.4500","11.93","19","0.68","3.4300","238","18"
"At home, taking out the trash was Justin's __________.","job","0.4400","11.93","19","0.68","1.7100","238","18"
"The officer was told he would lose his __________.","job","0.4700","11.93","19","0.68","1.7800","238","18"
"When college ends, there is pressure to find a __________.","job","0.9500","11.93","19","0.68","0.3300","238","18"
"The college student looked for a summer __________.","job","0.7600","11.93","19","0.68","1.6200","238","18"
"Ronald went out everyday to search for a __________.","job","0.4600","11.93","19","0.68","3.6200","238","18"
"Their garage band had finally gotten a real __________.","gig","0.5500","8.83","11","0.57","2.7500","1","11"
"Macy had planned meticulously, leaving nothing to __________.","chance","0.8000","10.99","5","0.66","1.5700","131","7"
"Although they had met before, Lee couldn't remember his __________.","name","0.9500","12.60","15","0.69","0.3800","294","14"
"The man introduced himself by stating his __________.","name","0.9400","12.60","15","0.69","0.4300","294","14"
"When Michael turned eighteen he legally changed his __________.","name","0.9800","12.60","15","0.69","0.1600","294","14"
"They tried but they couldn't get the engine to __________.","start","0.8800","12.06","9","0.69","0.8100","154","4"
"To keep spirits high the miner made up a __________.","song","0.6900","11.00","14","0.66","1.8500","70","10"
"She plays it often because it's her favorite __________.","song","0.5000","11.00","14","0.66","2.1300","70","10"
"The procession slowly advanced as they sang the __________.","song","0.4100","11.00","14","0.66","2.3800","70","10"
"To honor her deceased uncle, the niece sang a __________.","song","0.8100","11.00","14","0.66","1.1500","70","10"
"The confident man claimed he could produce a hit __________.","song","0.5000","11.00","14","0.66","1.9400","70","10"
"For his grandfather's funeral, Oscar composed a __________.","song","0.5400","11.00","14","0.66","2.1600","70","10"
"On the radio, Walter heard a really good __________.","song","0.7600","11.00","14","0.66","1.5000","70","10"
"The little boy's dream was to eventually fly a __________.","plane","0.7600","9.84","10","0.64","1.5100",\N,\N
"They waited for a windy day to use their __________.","kite","0.8600","7.76","25","0.53","0.9600","1","19"
"The strong winds prevented Jillian from flying her __________.","kite","0.9100","7.76","25","0.53","0.5500","1","19"
"It was too windy so Jen reeled in her __________.","kite","0.4500","7.76","25","0.53","2.4000","1","19"
"Inflation caused the cost of living to __________.","raise","0.6800","10.12","37","0.65","1.5700","52","22"
"Ashley went to the department store to buy a __________.","dress","0.3200","9.42","4","0.62","4.0600","67","6"
"Elizabeth went to the mall to buy a new __________.","dress","0.3200","9.42","4","0.62","3.8600","67","6"
"This morning Nina looked very pretty in her silk __________.","dress","0.4700","9.42","4","0.62","2.7400","67","6"
"Despite hours of cleaning, the stain stayed on Grace's white __________.","dress","0.3500","9.42","4","0.62","3.0000","67","6"
"Months before the gala, Avery bought an expensive __________.","dress","0.5200","9.42","4","0.62","2.7500","67","6"
"Stacy was not careful and spilled wine on her __________.","dress","0.4400","9.42","4","0.62","2.6100","67","6"
"His date wouldn't go to prom in her sister's __________.","dress","0.6200","9.42","4","0.62","1.7600","67","6"
"The bride spent weeks shopping for her __________.","dress","0.7000","9.42","4","0.62","1.8400","67","6"
"Jack went to the clothing store to buy a __________.","shirt","0.4500","9.01","15","0.57","2.2900","27","14"
"Reaching for a drink, he got food on his __________.","shirt","0.3400","9.01","15","0.57","2.6400","27","14"
"Conrad had trouble with the button on his __________.","shirt","0.5800","9.01","15","0.57","2.4700","27","14"
"Gavin was frustrated when he got wine on his __________.","shirt","0.6400","9.01","15","0.57","2.1400","27","14"
"The clumsy boy always spilled juice on his __________.","shirt","0.5700","9.01","15","0.57","2.2300","27","14"
"The designer didn't think the model's pants matched the __________.","shirt","0.3800","9.01","15","0.57","2.8300","27","14"
"After the concert the boys each bought a __________.","shirt","0.6400","9.01","15","0.57","2.4400","27","14"
"In the winter the posh woman wore a __________.","coat","0.3300","9.24","26","0.60","3.0000","43","26"
"To stay warm in cold weather, wear a winter __________.","coat","0.8200","9.24","26","0.60","0.8700","43","26"
"The office worker felt confident wearing his new __________.","suit","0.5900","9.81","27","0.65","2.2400","48","24"
"Before leaving the house, the businessman wore a __________.","suit","0.6700","9.81","27","0.65","1.7400","48","24"
"The presidential candidate always wore a simple __________.","suit","0.5600","9.81","27","0.65","2.0500","48","24"
"Mary was upset she spilled coffee on her favorite __________.","blouse","0.3500","7.43","3","0.41","2.8000","1","2"
"During the winter season, Harry always wears a __________.","hat","0.3500","9.37","33","0.61","2.4600","56","31"
"To protect the babies' ears, the mother bought a __________.","hat","0.4300","9.37","33","0.61","3.2900","56","31"
"It was so sunny Kevin needed a __________.","hat","0.7100","9.37","33","0.61","1.8600","56","31"
"Jesse was recognized for always wearing a __________.","hat","0.3500","9.37","33","0.61","3.9800","56","31"
"The thief ran away after taking the woman's __________.","purse","0.9000","7.53","19","0.50","0.7300","14","16"
"Delia needed her keys and rummaged around in her __________.","purse","0.8000","7.53","19","0.50","1.2100","14","16"
"Julie kept her coins in a new leather __________.","purse","0.4500","7.53","19","0.50","1.9800","14","16"
"To hold all her coins Trixie had a small __________.","purse","0.4800","7.53","19","0.50","2.5700","14","16"
"Theo got in trouble for stealing from his mom's __________.","purse","0.6200","7.53","19","0.50","1.8700","14","16"
"Before cooking, the woman had to clean the __________.","stove","0.3200","7.52","6","0.47","3.1400","15","6"
"To cook a meal you will surely need a __________.","stove","0.4400","7.52","6","0.47","2.1700","15","6"
"For her wedding, Linda chose a flowing __________.","gown","0.5900","7.17","10","0.50","1.5600","16","8"
"The woman was overdressed in her fancy __________.","gown","0.3100","7.17","10","0.50","2.9700","16","8"
"The man's girlfriend shrieked when he showed her the __________.","ring","0.4400","10.70","23","0.66","3.3700","49","21"
"In the small town everyone can hear the bell __________.","ring","0.7100","10.70","23","0.66","1.3100","49","21"
"The man bought his girlfriend a diamond __________.","ring","0.9400","10.70","23","0.66","0.4300","49","21"
"In the Wild West, people settled issues with a __________.","gun","0.5000","10.76","24","0.65","1.9900","118","18"
"Before work, the officer had to remember his __________.","gun","0.3500","10.76","24","0.65","3.7400","118","18"
"He heard a noise at midnight and grabbed his __________.","gun","0.6700","10.76","24","0.65","1.7200","118","18"
"When Carl worked in security, he had a __________.","gun","0.5900","10.76","24","0.65","2.0600","118","18"
"Upon returning home, the businessman napped on the __________.","couch","0.6600","8.51","7","0.51","1.6200","12","7"
"After moving into the apartment, Jen bought a new __________.","couch","0.4600","8.51","7","0.51","3.0300","12","7"
"Elsa made some popcorn and sat down on the __________.","couch","0.7500","8.51","7","0.51","1.3400","12","7"
"When Tucker takes a nap he sleeps on the __________.","couch","0.4200","8.51","7","0.51","2.4000","12","7"
"After moving into the apartment, Earl bought a new __________.","couch","0.3300","8.51","7","0.51","3.4200","12","7"
"After washing his hands, Brandon dried them with a __________.","towel","0.9600","8.13","3","0.41","0.3000","6","7"
"When it's chilly, Rachel keeps warm with a furry __________.","blanket","0.4600","8.25","0","0.53","2.9400","30","0"
"At the toy store, the child purchased a new __________.","toy","0.3200","10.13","16","0.61","2.9900","4","10"
"The mountain climbers were excited when they reached the __________.","top","0.4600","11.67","17","0.68","1.7300","204","17"
"The bartender never filled a glass to the __________.","top","0.4300","11.67","17","0.68","1.6800","204","17"
"Bill argued the best mountain view was at the __________.","top","0.4900","11.67","17","0.68","2.8200","204","17"
"The figure skater was spinning like a __________.","top","0.8600","11.67","17","0.68","1.1000","204","17"
"When placed in water, buoyant objects rise to the __________.","top","0.5300","11.67","17","0.68","1.1400","204","17"
"After several hours of climbing they reached the __________.","top","0.4000","11.67","17","0.68","1.8400","204","17"
